(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1553487889553016,+,NA,NA,NA,NA,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.44129341524694976,47.94123494237243,69,1248.7958984717209,-2352.4199413785855,0,0.283899589427779
-1.2055933534193366,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.44049437611113107,47.85774403163877,68,1247.6111438227958,-2352.2559182690375,0.1640231095479976,0.261545708706205
-1.1905374403886897,+,NA,NA,+,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4398550843890443,47.7910603419498,68,1246.6644682726924,-2351.117121691879,1.3028196867062434,0.147999778026006
-1.1837739028858567,+,NA,NA,+,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4400409489271253,47.810555086916075,68,1246.939588633063,-2350.6977906751763,1.72215070340917,0.120006422908508
-1.1719352181205798,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.43953431257241293,47.757587984010236,68,1246.1898701517584,-2349.286334531972,3.1336068466134748,0.0592530463560254
-1.197122247490259,+,NA,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4366094885827805,47.45225164236539,65,1241.8749327709832,-2348.220454696698,4.199486681887265,0.0347742536856914
-1.1988396014059932,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.43980185634411206,47.78568841270294,69,1246.5856958843297,-2347.723169950546,4.696771428039483,0.0271190085163453
-1.1508084741848446,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4375992390144213,47.5557160899196,66,1243.332580097515,-2347.152706796051,5.267234582534456,0.02038915875528
-1.2089983091272671,+,+,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43820216978826254,47.618572007416155,67,1244.221799606153,-2347.082574603095,5.337366775490409,0.019686580870371
-1.1647651428399217,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4393409447233393,47.73742847566854,69,1245.9039038495878,-2347.0292353382083,5.390706040377154,0.0191684863974338
-1.1961058102792415,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4358419473730587,47.372253131349055,66,1240.7463042020145,-2342.412528395456,10.007412983129598,0.00190582336104903
-1.1714068760912755,+,+,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4364049670672412,47.43094134696293,67,1241.5740445491363,-2341.3453878146815,11.074553563903919,0.00111777917277034
-1.157197084674544,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.43698146591188924,47.49122329843344,68,1242.4224589441283,-2341.1689666413345,11.250974737251,0.00102340289753347
-1.1936421064643095,+,NA,NA,+,NA,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43537340161873794,47.32319287231439,66,1240.058087096487,-2340.473025874981,11.946915503604487,0.00072264503799636
-1.1914993140561252,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.4362861426849901,47.4186229752327,68,1241.3992824868424,-2339.439111541373,12.98082983721224,0.000430936599203762
-1.170895515525959,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,+,+,0.43337076825124077,47.11389782988131,65,1237.1229688823612,-2338.833800054098,13.586141324487471,0.000318398974772754
-1.152752230949796,+,NA,NA,NA,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43281919648844924,47.05624430083317,64,1236.316391037387,-2338.338861764308,14.081079614277314,0.000248597740250862
-1.1554284129213352,+,NA,NA,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.434661436098871,47.248823295640534,67,1239.0134186168275,-2338.25718720445,14.162754174135443,0.000238650182747342
-1.1922243430225774,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4368899981734615,47.481564704630834,71,1242.2877909148492,-2334.046519443133,18.37342193545237,2.906878530569e-05
-1.143041957456584,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4361273322896426,47.40216904341015,70,1241.1657681343884,-2333.9656465841153,18.454294794470115,2.79167955582656e-05
-1.1486023250969482,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,+,0.43111292358461173,46.8778337813957,64,1233.826220642016,-2333.1514286612646,19.268512717320846,1.85806280931694e-05
-1.1899794432948874,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,0.430845989849696,46.84990340648993,64,1233.437327704994,-2333.0447541142153,19.375187264370197,1.7615554040901e-05
-1.1530712888448544,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.43425417520425813,47.20659932173889,69,1238.4164352270855,-2332.152201893241,20.267739485344464,1.12740785117594e-05
-1.1983324111633764,+,NA,+,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43056643576488707,46.82066862281011,64,1233.0302437947578,-2331.9724401877306,20.447501190854837,1.03049596715039e-05
-1.1600903980595616,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.434215349210857,47.20237570968183,69,1238.359544583419,-2331.842425961814,20.577515416771348,9.65637373395504e-06
-1.1944105382535444,+,NA,NA,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43042452067979575,46.80582552357137,64,1232.8236649149585,-2331.74235318134,20.677588197245313,9.18509257593657e-06
-1.1503960904411106,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.43305639863855616,47.08149083073637,68,1236.663161787511,-2330.8654631660393,21.5544782125462,5.92473991586303e-06
-1.198415599710339,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,+,0.4313431496161182,46.9019176193099,66,1234.1617811038645,-2329.991433345365,22.428508033220623,3.82715565957883e-06
-1.1595472877893158,+,NA,NA,NA,NA,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4293931526819249,46.69792856290102,64,1231.323897231391,-2328.310595429444,24.109345949141243,1.65153130589064e-06
-1.1646284083862952,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,+,NA,NA,NA,+,0.4312199639233646,46.88904345211222,67,1233.9822178403417,-2327.9852893136413,24.434652064944203,1.40361333296491e-06
-1.1583964479571625,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4336913492082819,47.147500439371285,70,1237.5921236781815,-2327.641095671611,24.778845706974607,1.18169877472406e-06
-1.1584920882435303,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,+,0.42887195128413247,46.643384163914575,64,1230.5670210243404,-2327.1862574886213,25.23368388996414,9.4132572770043e-07
-1.1741016770949875,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.43135233328176315,46.90303867968255,68,1234.17516935425,-2326.3520780844556,26.067863294129893,6.20297702544609e-07
-1.1657624524112953,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.43296019939640495,47.07103553290858,70,1236.5225086319242,-2325.664833918187,26.75510746039845,4.39913204545476e-07
-1.1514837535736024,+,NA,NA,NA,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4288456623332281,46.640774327102264,65,1230.5288631387539,-2325.0658903019703,27.35405107661518,3.26067898389532e-07
-1.158783270603425,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,+,NA,NA,+,0.4302867282720325,46.791813559718015,67,1232.6231364598366,-2324.854090138278,27.56585124030744,2.93302809569052e-07
-1.1580680674353878,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,+,0.43067554007396847,46.83228704787862,67,1233.1890966337037,-2324.83315865917,27.586782719415623,2.90249185841268e-07
-1.1635037490445777,+,NA,+,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4302534758695672,46.78794192684824,67,1232.5747517046188,-2324.6452257729497,27.77471560563572,2.64217696801136e-07
-1.1695969014351146,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,+,NA,NA,+,0.43050200514998826,46.81411098094962,67,1232.9364489053598,-2324.1749713912814,28.244969987304103,2.08856242757821e-07
-1.1673525292260827,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4315275705964027,46.921255475897574,69,1234.430677519978,-2323.493008734587,28.926932643998498,1.4851186488356e-07
-1.1570489175876477,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,+,NA,+,0.4280833072315776,46.5610359519116,64,1229.42308325956,-2323.458627051152,28.961314327433684,1.45980640198996e-07
-1.158904241054348,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.4279897016614873,46.55119286858297,65,1229.2874119826668,-2322.9466515633576,29.473289815227872,1.13011125276697e-07
-1.1513956929104376,+,NA,NA,NA,NA,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.42935195330881215,46.693851138380616,67,1231.2640433275792,-2321.950999021873,30.468942356712432,6.86938720733543e-08
-1.142690896139584,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,+,+,0.4279855307532874,46.55075171862889,65,1229.281367213365,-2321.899209238609,30.520732139976644,6.69378853643003e-08
-1.1480498888463426,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,+,NA,+,0.4303879573399617,46.802254848021754,68,1232.7704497802279,-2321.68565836511,30.734283013475306,6.015891646059e-08
-1.163626598629872,+,NA,NA,NA,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.4260774625321557,46.35095052490731,64,1226.5206744215784,-2319.6865387888247,32.73340258976077,2.21409731429144e-08
-1.1651534420944754,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4268955388323933,46.436623395288954,65,1227.7031842817573,-2319.292657631484,33.1272837471015,1.81830401857125e-08
-1.1754805158912063,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4280733794620005,46.5598203616924,66,1229.4086929652183,-2319.2821687804103,33.13777259817516,1.8087930202031e-08
-1.1470294038106505,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,0.42647229471265347,46.39224559580504,64,1227.0911843719966,-2319.183715116725,33.23622626186034,1.72190795351215e-08
-1.1538849624797145,+,NA,NA,NA,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4277296509435582,46.523863935112516,66,1228.9106127256566,-2318.9707406886546,33.449200689930876,1.54797207762765e-08
-1.1569089784928976,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,+,0.4282885366386271,46.58254534555725,67,1229.7206190964637,-2318.3204886407148,34.099452737870706,1.11831122585894e-08
-1.1692182804448958,+,NA,NA,NA,+,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4260725303431091,46.35036697303595,64,1226.513550172427,-2317.8496423164893,34.57029906209618,8.83730215697231e-09
-1.1541049698435712,+,NA,NA,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.42643415820290986,46.38833099755571,65,1227.0360621604395,-2317.5388019545153,34.88113942407017,7.56522026560057e-09
-1.162875198807403,+,+,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.43221858216842446,46.99360675143882,73,1235.438988585717,-2317.463199476723,34.95674190186264,7.28458319830023e-09
-1.1623037181493037,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4310498146305368,46.871492077033786,71,1233.7342614054207,-2317.197123291348,35.222818087237556,6.37715537306057e-09
-1.144164455188167,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,NA,+,+,0.42494251795941984,46.23206805494377,63,1224.8829273052997,-2316.8869777560226,35.532963622562875,5.46109524506474e-09
-1.148089853646184,+,NA,NA,NA,NA,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.42819631520124923,46.572824491376494,68,1229.5869058319302,-2316.3542319928633,36.06570938572213,4.18403663372639e-09
